model,arch,cond,outcome,n_scenarios,mean_diff,ci_lo,ci_hi,p_raw,p_bh
claude-opus-5,S1,C2_name_b,median_hh_income,60,-295.2694444444445,-31838.033333333336,23853.21666666663,0.8499,0.15225
gpt-5.6-luna,S3,C2_name_b,pct_nonwhite,150,0.0011149796567044884,-0.1333219004608866,0.20811460499494522,0.8549,0.15225
gpt-5.6-luna,S2,C1_name_a,median_gross_rent,150,2.532222222222222,-325.766666666667,443.4500000000004,0.8577,0.15225
claude-opus-5,S1,C1_name_a,median_gross_rent,60,-3.311111111111101,-482.89999999999986,411.1749999999999,0.9115,0.15225
gpt-5.6-luna,S3,C3_voucher,pct_black_nh,150,0.0005221857633224684,-0.07272660622688915,0.07563495414625457,0.9252,0.15225
claude-opus-5,S1,C2_name_b,median_gross_rent,60,2.1111111111111236,-287.99999999999983,309.3666666666664,0.9343,0.15225
gpt-5.6-luna,S3,C1_name_a,median_hh_income,150,36.69666666666696,-33408.55833333334,31367.55000000001,0.9745,0.15225
claude-opus-5,S1,C2_name_b,median_rent_pct_income,60,-0.0011111111111111664,-1.4541666666666675,1.0208333333333288,0.9949,0.15225
gpt-5.6-luna,S3,C1_name_a,median_gross_rent,150,0.07000000000000454,-531.1333333333333,503.40833333333364,0.9955,0.15225
gpt-5.6-sol,S1,C2_name_b,renter_share,60,1.593502618977653e-05,-0.08918772557037262,0.06769228260693397,0.9973,0.15225
